,elapsed_time,reward,discounted_reward,sat
0,1.0219841003417969,-24.0,-20.346111570312498,True
1,0.5406837463378906,5.0,3.213428124999999,True
2,1.4431061744689941,-13.0,-12.239628125,True
3,0.637744665145874,-4.0,-5.336571875,True
4,0.6376791000366211,-4.0,-5.336571875,True
5,0.5699608325958252,5.0,3.213428124999999,True
6,0.5904707908630371,-4.0,-4.9090718749999995,True
7,13.853840112686157,-66.0,-47.42665597114123,False
8,0.6715941429138184,-13.0,-11.833503125,True
9,19.11812996864319,-4.0,-5.336571875,True
10,0.6711990833282471,-31.0,-28.506003124999992,True
11,1.1753160953521729,-51.0,-44.34916782031249,True
12,1.329892873764038,-51.0,-44.34916782031249,True
13,13.491621017456055,-66.0,-47.42665597114123,False
14,0.9415600299835205,-6.0,-7.5998811171875005,True
15,0.5208640098571777,5.0,3.213428124999999,True
16,0.9764769077301025,-33.0,-28.896111570312502,True
17,1.1328177452087402,-33.0,-29.610840804687502,True
18,19.043971061706543,-4.0,-4.9090718749999995,True
19,0.8774762153625488,-6.0,-5.665708132812499,True
20,0.6886227130889893,-31.0,-28.506003124999992,True
21,0.5477750301361084,-4.0,-4.9090718749999995,True
22,0.7981748580932617,-22.0,-20.383503125,True
23,0.8104567527770996,-31.0,-28.506003124999992,True
24,0.6169760227203369,-13.0,-12.667128124999998,True
25,0.6917839050292969,-4.0,-5.336571875,True
26,0.5702321529388428,-4.0,-5.336571875,True
27,1.2529771327972412,-42.0,-37.73334080468749,True
28,13.535257816314697,-66.0,-47.42665597114123,False
29,1.11863112449646,-33.0,-27.676667820312492,True
30,0.6670761108398438,-13.0,-11.833503125,True
31,0.7160892486572266,-22.0,-20.383503125,True
32,0.9875621795654297,-33.0,-28.896111570312502,True
33,0.689223051071167,-31.0,-28.506003124999992,True
34,0.9762008190155029,-15.0,-15.316256117187503,True
35,0.6565358638763428,-31.0,-28.506003124999992,True
36,0.6146559715270996,-4.0,-5.336571875,True
37,0.8544619083404541,-15.0,-15.316256117187503,True
38,14.328367948532104,-84.0,-61.00651142426623,False
39,0.9879570007324219,-15.0,-15.316256117187503,True
40,1.1141669750213623,-33.0,-27.676667820312492,True
41,19.973854064941406,-31.0,-28.506003124999992,True
42,0.6700091361999512,-4.0,-5.336571875,True
43,19.088465929031372,5.0,3.213428124999999,True
44,0.6647939682006836,-4.0,-4.117128125,True
45,0.5718069076538086,-4.0,-4.9090718749999995,True
46,0.540463924407959,-4.0,-5.336571875,True
47,13.621983051300049,-66.0,-47.42665597114123,False
48,1.02195405960083,-15.0,-15.316256117187503,True
49,19.39993119239807,-13.0,-12.667128124999998,True
